year,geo_type,geo_id,geo_rank,geography,number,percent,percent_low,percent_high
2015,UHF34,103,3,Fordham - Bronx Pk,122000,66.2,66.2,66.2
2015,UHF34,104,3,Pelham - Throgs Neck,154000,66.7,66.7,66.7
2015,UHF34,201,3,Greenpoint,50000,48.4,48.4,48.4
2015,UHF34,202,3,Downtown - Heights - Slope,75000,42.1,42.1,42.1
2015,UHF34,203,3,Bedford Stuyvesant - Crown Heights,167000,70.1,70.1,70.1
2015,UHF34,204,3,East New York,91000,65.8,65.8,65.8
2015,UHF34,205,3,Sunset Park,48000,48.2,48.2,48.2
2015,UHF34,206,3,Borough Park,123000,50.8,50.8,50.8
2015,UHF34,207,3,East Flatbush - Flatbush,161000,68.9,68.9,68.9
2015,UHF34,208,3,Canarsie - Flatlands,102000,65.4,65.4,65.4
2015,UHF34,209,3,Bensonhurst - Bay Ridge,84000,51.7,51.7,51.7
2015,UHF34,210,3,Coney Island - Sheepshead Bay,140000,60.4,60.4,60.4
2015,UHF34,211,3,Williamsburg - Bushwick,89000,59.9,59.9,59.9
2015,UHF34,301,3,Washington Heights,125000,62.9,62.9,62.9
2015,UHF34,302,3,Central Harlem - Morningside Heights,71000,60,60,60
2015,UHF34,303,3,East Harlem,50000,64,64,64
2015,UHF34,304,3,Upper West Side,81000,44.5,44.5,44.5
2015,UHF34,401,3,Long Island City - Astoria,96000,56.2,56.2,56.2
2015,UHF34,402,3,West Queens,220000,58.7,58.7,58.7
2015,UHF34,403,3,Flushing - Clearview,97000,44.1,44.1,44.1
2015,UHF34,405,3,Ridgewood - Forest Hills,104000,52.1,52.1,52.1
2015,UHF34,407,3,Southwest Queens,127000,60.8,60.8,60.8
2015,UHF34,408,3,Jamaica,144000,64.7,64.7,64.7
2015,UHF34,409,3,Southeast Queens,100000,64.8,64.8,64.8
2015,UHF34,410,3,Rockaways,52000,63.9,63.9,63.9
2015,UHF34,305307,3,Upper East Side-Gramercy,135000,43.8,43.8,43.8
2015,UHF34,306308,3,Chelsea-Village,76000,38.4,38.4,38.4
2015,UHF34,309310,3,Union Square-Lower Manhattan,72000,33.8,33.8,33.8
2015,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,80000,53.8,53.8,53.8
2015,UHF34,501502,3,Northern SI,88000,62.2,62.2,62.2
2015,UHF34,503504,3,Southern SI,131000,61,61,61
2015,UHF34,105106107,3,South Bronx,261000,67.4,67.4,67.4
2015,Borough,1,1,Bronx,682000,66.5,66.5,66.5
2015,Borough,2,1,Brooklyn,1136000,58.4,58.4,58.4
2015,Borough,3,1,Manhattan,616000,47.3,47.3,47.3
2015,Borough,4,1,Queens,1019000,57.2,57.2,57.2
2015,Borough,5,1,Staten Island,219000,61.3,61.3,61.3
2015,Citywide,1,0,New York City,3672000,57.3,57.3,57.3
2014,UHF34,101,3,Kingsbridge - Riverdale,42000,60.9,60.9,60.9
2014,UHF34,102,3,Northeast Bronx,97000,67.6,67.6,67.6
2014,UHF34,103,3,Fordham - Bronx Pk,127000,69.8,69.8,69.8
2014,UHF34,104,3,Pelham - Throgs Neck,157000,69.5,69.5,69.5
2014,UHF34,201,3,Greenpoint,36000,36.7,36.7,36.7
2014,UHF34,202,3,Downtown - Heights - Slope,82000,47.2,47.2,47.2
2014,UHF34,203,3,Bedford Stuyvesant - Crown Heights,152000,63.1,63.1,63.1
2014,UHF34,204,3,East New York,81000,60.6,60.6,60.6
2014,UHF34,205,3,Sunset Park,51000,53.4,53.4,53.4
2014,UHF34,206,3,Borough Park,118000,50.3,50.3,50.3
2014,UHF34,207,3,East Flatbush - Flatbush,161000,70.2,70.2,70.2
2014,UHF34,208,3,Canarsie - Flatlands,94000,64.4,64.4,64.4
2014,UHF34,209,3,Bensonhurst - Bay Ridge,99000,60.6,60.6,60.6
2014,UHF34,210,3,Coney Island - Sheepshead Bay,141000,62.1,62.1,62.1
