station_id,station_name,latitude,longitude,zipcode,uhf34,uhf34_neighborhood,borough
3145,E 84 St & Park Ave,40.77862688,-73.95772073,10028,305307,Upper East Side Gramercy,Manhattan
3653,31 St & 35 Ave,40.75820464696758,-73.92832159996033,11101,401,Long Island City Astoria,Queens
3576,Park Pl & Vanderbilt Ave,40.6767,-73.969024,11238,203,Bedford Stuyvesant Crown Heights,Brooklyn
3002,South End Ave & Liberty St,40.711512,-74.015756,10281,NA,NA,NA
266,Avenue D & E 8 St,40.72368361,-73.97574813,10009,309310,"Union Square, Lower Manhattan",Manhattan
245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,11237,211,Williamsburg Bushwick,Brooklyn
3412,Pacific St & Nevins St,40.6853761,-73.98302136,11217,202,Downtown Heights Slope,Brooklyn
501,FDR Drive & E 35 St,40.744219,-73.97121214,10016,305307,Upper East Side Gramercy,Manhattan
344,Monroe St & Bedford Ave,40.6851443,-73.95380904,11216,203,Bedford Stuyvesant Crown Heights,Brooklyn
3434,W 88 St & West End Ave,40.79025417330419,-73.97718340158461,10024,304,Upper West Side,Manhattan
3121,Jackson Ave & 46 Rd,40.74524768,-73.94733276,11101,401,Long Island City Astoria,Queens
3372,E 74 St & 1 Ave,40.7689738,-73.95482273,10021,305307,Upper East Side Gramercy,Manhattan
536,1 Ave & E 30 St,40.74144387,-73.97536082,10016,305307,Upper East Side Gramercy,Manhattan
3417,Baltic St & 5 Ave,40.6795766,-73.97854971,11217,202,Downtown Heights Slope,Brooklyn
3166,Riverside Dr & W 72 St,40.78057799010334,-73.98562431335449,10023,304,Upper West Side,Manhattan
3502,Lexington Ave & E 111 St,40.7954121,-73.9441232,10029,303,East Harlem,Manhattan
3324,3 Ave & 14 St,40.6685455,-73.99333264,11215,202,Downtown Heights Slope,Brooklyn
3405,5 St & 6 Ave,40.6704836,-73.98208968,11215,202,Downtown Heights Slope,Brooklyn
3172,W 74 St & Columbus Ave,40.7785669,-73.97754961,10023,304,Upper West Side,Manhattan
360,William St & Pine St,40.70717936,-74.00887308,10005,309310,"Union Square, Lower Manhattan",Manhattan
3066,Tompkins Ave & Hopkins St,40.69957608,-73.94708417,11216,203,Bedford Stuyvesant Crown Heights,Brooklyn
3489,Gold St & Frankfort St,40.71069994631387,-74.00354146957397,10038,309310,"Union Square, Lower Manhattan",Manhattan
3719,S Portland Ave & Atlantic Ave,40.68322254161595,-73.9738118648529,11217,202,Downtown Heights Slope,Brooklyn
3178,Riverside Dr & W 78 St,40.78414472,-73.98362492,10024,304,Upper West Side,Manhattan
462,W 22 St & 10 Ave,40.74691959,-74.00451887,10011,306308,Chelsea Village,Manhattan
513,W 56 St & 10 Ave,40.768254,-73.988639,10019,306308,Chelsea Village,Manhattan
3223,E 55 St & 3 Ave,40.75899655960512,-73.96865397691727,10022,305307,Upper East Side Gramercy,Manhattan
3127,9 St & 44 Rd,40.74966,-73.9521,11101,401,Long Island City Astoria,Queens
3331,Riverside Dr & W 104 St,40.8013434,-73.9711457439,10205,NA,NA,NA
3604,Rogers Ave & Sterling St,40.6630619,-73.9538746,11225,207,East Flatbush Flatbush,Brooklyn
339,Avenue D & E 12 St,40.72580614,-73.97422494,10009,309310,"Union Square, Lower Manhattan",Manhattan
3256,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,10282,NA,NA,NA
3354,3 St & Prospect Park West,40.668132,-73.97363831,11215,202,Downtown Heights Slope,Brooklyn
3422,Columbia St & Degraw St,40.6859296,-74.00242364,11231,202,Downtown Heights Slope,Brooklyn
3081,Graham Ave & Grand St,40.711863,-73.944024,11211,201,Greenpoint,Brooklyn
244,Willoughby Ave & Hall St,40.69196035,-73.96536851,11205,202,Downtown Heights Slope,Brooklyn
