ZCTA5_FIPS,ZCTA5_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
40448,39,,100,100,1,1,85,1,100,,.69230771,1,0,1,0,.53846157,0
40456,9704,73,81,71,86,74,31,28,96,.67336923,.20135939,.16294897,.21082333,.45224205,.086560361,.25487217,.012655024
40460,1369,42,51,2,78,29,15,87,93,-.25071391,.11760409,.025575448,.16836159,.42521366,.035476718,.18181819,.068736143
40461,3800,56,70,13,77,7,39,65,87,.16239612,.16263159,.067467652,.16743827,.38455114,.015184382,.28488794,.031814896
40464,1235,8,21,1,52,7,1,1,28,-1.4070562,.063157894,0,.10181452,.24510932,.015625,.029296875,0
40468,1708,46,42,66,51,34,48,4,32,-.14252278,.099706747,.15320911,.10032894,.25202429,.03976436,.31958762,.0014727541
40472,1576,57,81,11,95,31,23,1,97,.18596844,.20127389,.062068965,.2959573,.48429585,.03732504,.22239502,0
40475,62250,69,81,54,59,46,73,35,75,.55330288,.20029221,.13215356,.11505319,.33927211,.050430663,.44229114,.015331611
40481,85,61,100,1,98,1,68,1,100,.31353024,.42857143,0,.36507937,.61363637,0,.41379312,0
40484,11303,57,73,40,78,22,33,43,79,.20518298,.17297842,.11040407,.16985138,.35167047,.029398762,.26149425,.018788682
40486,2874,43,91,30,62,33,4,13,92,-.22801381,.2606124,.094748862,.12331606,.4167116,.03886256,.1042654,.0066350712
40489,4713,61,79,39,84,75,2,67,80,.311984,.19178082,.10765896,.1984127,.35396591,.088450707,.072676055,.033239435
40502,27269,37,60,24,4,38,70,34,15,-.39628705,.13647442,.085122935,.022499336,.21905975,.043577053,.42335472,.015012578
40503,29309,33,53,25,19,45,49,28,31,-.51014072,.12122044,.087061666,.048687793,.24994819,.049583402,.32110766,.012743016
40504,27796,96,97,90,76,93,95,77,59,1.5704937,.33060491,.22496225,.16370891,.29853597,.19427137,.6775701,.04499827
40505,26152,87,87,83,80,86,71,50,71,1.1721665,.2266825,.19585687,.17855383,.32721588,.12339685,.42762917,.022169292
40506,2329,2,1,1,1,1,1,1,100,-1.7590094,0,0,0,.73164451,0,0,0
40507,1772,66,91,2,20,97,99,1,43,.45447662,.25902936,.026119404,.051085569,.27119833,.34140801,.79939437,0
40508,25766,98,100,98,84,94,98,47,95,1.6713785,.47039038,.3061493,.19924439,.44483545,.20173582,.75793821,.020427603
40509,41645,32,29,50,22,43,62,32,10,-.5621925,.076311335,.12506907,.053689357,.20769203,.047825057,.37993363,.014045277
40510,1990,30,46,9,83,6,31,1,100,-.62678522,.10714286,.059090909,.19262038,.78279179,.014492754,.2521739,0
40511,33909,58,56,46,66,40,59,62,48,.20553716,.12768739,.11918905,.13353907,.27892172,.045247421,.36477736,.029338876
40513,11163,3,5,7,9,2,17,25,27,-1.7011163,.033496287,.052599199,.032720104,.24264392,.0030552291,.19576968,.011515863
40514,16573,8,4,44,6,2,25,39,15,-1.4274179,.031272683,.11622658,.026985697,.22032323,.0014662757,.23085696,.01710655
40515,35772,24,29,47,11,22,58,17,15,-.7914418,.076695666,.12050783,.036050219,.2190614,.029375598,.36159313,.0082661565
40516,3303,40,39,6,70,32,34,44,36,-.32243904,.094380625,.04822335,.14503817,.25771144,.038065027,.26486915,.019032514
40517,37096,81,86,97,43,69,93,53,16,.97039282,.22271112,.28960481,.085945316,.2215478,.077119105,.63388145,.023420909
40601,50954,59,54,75,56,62,60,42,51,.25762656,.12333469,.17115924,.10794111,.28498116,.06814573,.37225595,.018262494
40604,165,,1,1,93,1,1,1,100,,0,0,.26923078,1,0,0,0
40701,29888,70,82,32,78,71,52,26,88,.57716471,.20394334,.096938774,.17014259,.39046007,.080048941,.33522677,.011972385
40729,5161,59,81,29,86,60,25,32,92,.26079819,.19871795,.092517003,.2114514,.41748664,.064644456,.22824465,.014420686
40734,3709,82,97,36,90,87,39,69,99,.99024063,.33819884,.10324826,.23910572,.54858655,.12924188,.28592059,.03537906
40737,817,48,87,1,95,1,1,1,94,-.091187157,.22643819,0,.3055118,.43171114,0,.053003535,0
40740,3139,79,93,42,91,77,33,67,93,.877011,.27333546,.11262798,.24364723,.42311507,.092960291,.25992781,.033393502
40741,24372,79,91,57,81,66,51,60,92,.89245009,.25875545,.13684385,.18599221,.41800684,.072396182,.32944703,.027648235
40743,242,15,1,92,1,1,65,1,2,-1.1412333,0,.24242425,0,.16883117,0,.39393941,0
40744,18312,68,76,63,76,59,35,43,88,.49946114,.1826549,.1469992,.16140154,.38881323,.063882418,.26964495,.01862631
40759,2536,72,100,52,93,79,4,51,95,.63551623,.40536278,.12842713,.25925925,.4462882,.098751418,.099886492,.022701476
40763,434,60,100,1,90,91,25,1,100,.28598011,.41474655,0,.23822714,.79124582,.16037735,.23113208,0
40769,18259,86,94,67,88,74,57,65,97,1.1181538,.28811613,.15533748,.22360933,.48267245,.08713489,.35740072,.031670496
40771,1301,67,94,1,91,1,67,1,83,.47603837,.28139904,0,.24450193,.36588237,0,.4087137,0
40801,416,71,100,83,98,39,1,1,100,.62641311,.54086536,.19327731,.38148147,.75700933,.044025157,.050314464,0
40806,2723,80,96,88,66,68,55,17,99,.92294943,.31335878,.21565934,.13259669,.53305537,.075660892,.349134,.0082041929
40807,391,36,51,32,69,31,22,1,97,-.44189584,.11764706,.098360658,.14181818,.48068669,.037037037,.21604939,0
40808,72,32,48,87,38,1,1,1,95,-.55192119,.11111111,.21052632,.07692308,.44642857,0,0,0
40810,1058,75,98,36,98,89,22,1,100,.74830163,.34404537,.10447761,.36286408,.68078667,.14285715,.21722114,0
40813,387,56,93,1,88,26,16,1,100,.15056552,.27390182,0,.21857923,.67076921,.032608695,.19021739,0
